Team_Won,_Lane,_Champ,_Kills,_KDA,_Kills_5,_Kills_10,_Kills_15
True,top_lane,Akali,10,3.4285714285714284,0,1,2
False,mid_lane,Akali,4,1.8,0,1,1
True,top_lane,Irelia,5,1.75,0,1,2
True,top_lane,Akali,9,2.5,0,2,4
False,top_lane,Akali,1,0.6,0,1,1
False,top_lane,Akali,4,4.0,0,2,3
True,top_lane,Akali,4,1.3333333333333333,0,1,1
False,top_lane,Akali,10,10.5,2,3,4
False,top_lane,Irelia,5,3.0,1,3,3
True,top_lane,Camille,10,4.333333333333333,0,1,1
True,top_lane,Akali,6,3.3333333333333335,0,1,3
False,top_lane,Akali,6,8.0,0,0,2
True,top_lane,Akali,4,3.0,0,0,1
True,top_lane,Irelia,3,2.6,0,0,0
True,top_lane,Camille,6,6.0,0,1,4
False,top_lane,Akali,14,5.0,1,3,5
True,top_lane,Camille,10,10.0,0,2,2
True,top_lane,Irelia,14,7.666666666666667,1,5,5
True,mid_lane,Irelia,1,0.3333333333333333,0,0,1
True,top_lane,Akali,4,6.0,0,0,2
